case_id,entity,issue,issue_family,image_sha256,platform,dataset_key,dataset_url,upstream_id,declared_license,obtainable
cv1-0038,soybean,Soybean Rust,disease,aeeab7bfa6d3188e77754e19722ec516bc32cd8a9baca5f13eb0f4b5623063f8,Kaggle,kaggle_bhargavi1919_soybean_dataset_unknown_imagefolder,,,unknown,dataset
cv1-0039,soybean,Soybean Mosaic Virus,disease,4786c1421de50dcfa3824c232d53dad3c749621b0ae96bd950b87846a76ea498,Kaggle,kaggle_bhargavi1919_soybean_dataset_unknown_imagefolder,,,unknown,dataset
cv1-0040,black_gram_urad,Healthy,healthy,c8b60df4c715daf3cabec761a56599563ad4919c85c343565297e75277c609d1,Kaggle,kaggle_ayushcl_black_gram_leaf_apache_2_imagefolder,,,Apache-2.0,dataset
cv1-0041,black_gram_urad,Anthracnose,disease,1801af03bafdbc383da7a392b404ca5c435c07c66deec168c81f1d63d6be7ad6,Kaggle,kaggle_andytingzhiwei_black_gram_bpld_unknown_imagefolder,,,unknown,dataset
cv1-0042,mustard_rapeseed_canola,Healthy,healthy,f74ad8ad2da3ee0e9098d848ff48a9e96344d9c9cb99e7a7c8b570252ce1f2ae,Kaggle,kaggle_gregsvein55_canola_diseases_cc0_imagefolder,,,CC0,dataset
cv1-0043,groundnut_peanut,Healthy,healthy,f3cbbf97d50a58f7317fe022d5f7ef53256438722c1fb72728de389fa8b2bb46,Kaggle,kaggle_kanishkasalgude_d59india_unknown_augmented_imagefolder,,,unknown,dataset
cv1-0044,soybean,Healthy,healthy,531017390ad70e13def39dd860adda785ae32bf179d31d757f3654bc6ce77069,HuggingFace,hf_plant_village_dscomp380_cc0,,,CC0,dataset
cv1-0045,black_gram_urad,Bacterial Leaf Blight,disease,6e9bcfbe4e906a0f6c30179f5999cbde8f9e549785dc392674bf372ca76aabc3,Roboflow Universe,roboflow_christopher_escalante_mungbean_disease_v6_cc_by_4_black_gram_blb,,,CC-BY-4.0,dataset
cv1-0046,cowpea,Septoria leaf spot,disease,6a96a379609be2af4708858405811429c9190985f9f8d1b00355f7cac981689b,Mendeley Data,mendeley_cowpea_bean_ykvcrjffzd_cc_by_4_public_folders,https://data.mendeley.com/datasets/ykvcrjffzd,ykvcrjffzd,CC-BY-4.0,record_url
cv1-0047,soybean,Rhizoctonia Aerial Blight,disease,dcd4425cbaa0affe5f5703bf0fe8988d77a4c77699124f66b7a5aeb3f09a5f05,HuggingFace,hf_butterchicken98_soybean_disease_controlnet_unknown,,,unknown,dataset
cv1-0048,pigeon_pea_red_gram,Healthy,healthy,6faa2ca4b15a7fe67ea520745cfd891f19bc9bb0cb8565c1bb8518c09cffd2e0,Mendeley Data,mendeley_pigeonpea_leaf_bd553pdtny_cc_by_4_ppld,https://data.mendeley.com/datasets/bd553pdtny,bd553pdtny,CC-BY-4.0,record_url
cv1-0049,bean_french_bean,Bean Common Mosaic Virus,disease,f3ff2b48207d30d5cc2499e3ec1861bc2501176cc3a3e2800e64987854c3307c,Mendeley Data,mendeley_cowpea_bean_ykvcrjffzd_cc_by_4_public_folders,https://data.mendeley.com/datasets/ykvcrjffzd,ykvcrjffzd,CC-BY-4.0,record_url
cv1-0050,mustard_rapeseed_canola,Phosphorus Deficiency,nutrient_deficiency,4468bd2c46ba69128683aeac499b4c8fc3475c9ef204fb5d73bfff5130b63225,Roboflow Universe,roboflow_agrikheti_mustard_phosphorus_deficiency_v1_private,,,private,none
cv1-0051,chickpea_gram,Fusarium Wilt,disease,c83b8cb96e98d48428ad214ae3a55fc96666e3ededa327af80abf5d193869934,Kaggle,kaggle_tolgahayit_chickpea_fusarium_wilt_unknown_imagefolder,,,unknown,dataset
cv1-0052,green_gram_moong,Anthracnose,disease,b2b5b8cb1ecfad2e0014aaf81795020b7b8b5134d4bbe085fd818ffb9f7a2074,Kaggle,kaggle_andytingzhiwei_black_gram_bpld_sibling_pulse_aux_for_green_gram,,,unclassified,dataset
cv1-0053,pigeon_pea_red_gram,Fusarium Wilt,disease,52266d7f471e8ec70346c57952426f1b69852074f32e8ec30b917b4c5d407bdf,ICRISAT OAR,icrisat_ravikumara_virulence_pigeonpea_fusarium_wilt_resume3_source_terms_review,http://oar.icrisat.org/,,unverified,dataset
cv1-0054,cowpea,Healthy,healthy,7a28287a7c9988c23981bc7fa614f2fe18a5a3d1d1e81617819a9dd37f9fa341,Mendeley Data,mendeley_cowpea_bean_ykvcrjffzd_cc_by_4_public_folders,https://data.mendeley.com/datasets/ykvcrjffzd,ykvcrjffzd,CC-BY-4.0,record_url
cv1-0055,green_gram_moong,Powdery Mildew,disease,8fa5f095cf31021a80b3d81ebc73a47c4c9de41be93ff5dc5f6960c9712eec5d,Roboflow Universe,roboflow_christopher_escalante_mungbean_disease_v6_cc_by_4,,,CC-BY-4.0,dataset
cv1-0056,green_gram_moong,Healthy,healthy,7d2de39da2fcaa51eae1061d560f9ce630318cb16cbf582bd8041c91a15a78f1,Roboflow Universe,roboflow_christopher_escalante_mungbean_disease_v6_cc_by_4,,,CC-BY-4.0,dataset
cv1-0057,black_gram_urad,Powdery Mildew,disease,c0a18f98ce9a3f1bf333dd29d8386f48e6e5c6522d7f50b66ec7e498ba52ed63,Roboflow Universe,roboflow_blackgram_xbzbp_v1_cc_by_4_imagefolder,,,CC-BY-4.0,dataset
cv1-0058,groundnut_peanut,Groundnut Bud Necrosis Virus,disease,b5f3dddd1481aee366f4ed73c1ab4203d6d63a000c8c75e65fbade70d1644d15,KrishiKosh,krishikosh_5810015944_groundnut_bud_necrosis_etiology_management_source_terms_review,https://krishikosh.egranth.ac.in/items/5810015944,5810015944,unverified,dataset
cv1-0059,green_gram_moong,Mungbean Yellow Mosaic Virus,disease,75a76f58f1e715554abff4ed8738a20c3c18d93406789b4d8ae8277ad8c2f748,Roboflow Universe,roboflow_iotseecs_mb_yellow_mosaic_v3_cc_by_4_coco,,,CC-BY-4.0,dataset
cv1-0060,groundnut_peanut,Alternaria Leaf Spot Peanut,disease,e2e955ae72e6272aea1ae16a00a64a81475b1995239214acc8d146162f955be6,Kaggle,kaggle_kanishkasalgude_d59india_unknown_augmented_imagefolder,,,unknown,dataset
cv1-0061,chickpea_gram,Healthy,healthy,371f8346d96cbf3b77fb063ce6b68dc00da37912c1c4a344f1ff8da9c3d414d5,Roboflow Universe,roboflow_pair_label_chickpea_flax_sthvq_v2_cc_by_4_coco,,,CC-BY-4.0,dataset
cv1-0062,bean_french_bean,Bacterial Leaf Blight,disease,eebb18df22b9f44e5cd5b2e4d3656335819e23976e8a1ae4c8bd1c4ac3c18967,Roboflow Universe,roboflow_school_9guon_bean_actz9_cc_by_4_yolov8,,,CC-BY-4.0,dataset
cv1-0063,pigeon_pea_red_gram,Sterility Mosaic Virus,disease,1b1c8652fb71fcaa74673247d9030f5bef43f9010e16e9642ceaa6d9fd40ac3c,Mendeley Data,mendeley_pigeonpea_leaf_bd553pdtny_cc_by_4_ppld,https://data.mendeley.com/datasets/bd553pdtny,bd553pdtny,CC-BY-4.0,record_url
cv1-0064,squash,Bacterial wilt,disease,70b7f9e475667afd3bdd78ef789043cb01152571efa497bc4b642768b986e5f6,Kaggle,kaggle_mahfuzhasan_sweet_pumpkin_cc0_imagefolder,,,CC0,dataset
cv1-0065,lettuce,Downy Mildew,disease,c2fdc874f91de7efcd95ffbd77164862664ee1806ca0dd3314a4a1de3175a5ed,Kaggle,kaggle_harisri2005_plant_disease_processed_unknown_csv,,,unknown,dataset
cv1-0066,tomato,Anthracnose,disease,000212d31aed7a9a7e05b6f6bed56bc2fa52856e721d9cb125f0a283e2246c09,Kaggle,kaggle_sadikmahir_tomato_fruit_disease_apache2_yolo,,,Apache-2.0,dataset
cv1-0067,cauliflower,Boron Deficiency,nutrient_deficiency,54b93c7b32234b9b7876c5b857bcbbb950801c7c37014c9f8a5460b763e041e1,Mendeley Data,mendeley_cauli_net_y6hk67rhs5_cc_by_4_boron_public_folders,https://data.mendeley.com/datasets/y6hk67rhs5,y6hk67rhs5,CC-BY-4.0,record_url
cv1-0068,cauliflower,Healthy,healthy,9b5edbdcbbc612132ecfd15a8bb46886b22040d9a8046459008703bc92570dfe,Kaggle,kaggle_fahadbd_plant_leaf_freshness_cc_by_4_imagefolder,,,CC-BY-4.0,dataset
cv1-0069,chilli_capsicum,Chilli Leaf Curl Virus,disease,c6d58a28015a39cf9f76c3dd4c26dfa48adf1ebb62a1c80589912cb0ce694756,Mendeley Data,mendeley_pepper_bell_w9drvtxg9g_cc_by_4_public_folders,https://data.mendeley.com/datasets/w9drvtxg9g,w9drvtxg9g,CC-BY-4.0,record_url
cv1-0070,onion,Xanthomonas leaf blight,disease,60ee65f041ba22392c860e11a8496c0d891e411b357e065d36044f01e280a73a,Roboflow Universe,roboflow_school_0xa1n_onion_xanthomonas_leaf_blight_v2_cc_by_4,,,CC-BY-4.0,dataset
cv1-0071,okra,Bhendi Yellow Vein Mosaic Virus,disease,4e9ef45537d33c37a2cd8eedf81e2f2121aa7ebafea5dc3de99998cc933afa3a,Kaggle,kaggle_custom_100_category_nc_sa_imagefolder,,,CC-BY-NC-SA,dataset
cv1-0072,tomato,Bacterial Wilt,disease,254e739637b587876370b6029941c0d3b23dfaee446bcad618c2dd0bf6a25b69,HuggingFace,hf_tomato_disease_detection_agml_cc_by_4,,,CC-BY-4.0,dataset
cv1-0073,tomato,Healthy,healthy,111fde6a18807176915c9d1de0f781d5d5bc49a9791cc1a8c12c98402740e278,Kaggle,kaggle_tomato_leaf_diseases_detection_cv_cc0_yolo,,,CC0,dataset
cv1-0074,potato,Potato Late Blight,disease,7ae6a9da4d38a8db7cccae6b79611624622aef2f8c6b287a3969f94c4ea05365,Kaggle,kaggle_custom_100_category_nc_sa_imagefolder,,,CC-BY-NC-SA,dataset
cv1-0075,chilli_capsicum,Powdery Mildew,disease,40bcfdc60dcdb3c7902731192cff101f8b2b12bb916d26ad155af0c22163ec03,Mendeley Data,mendeley_chilli_leaf_tm3v4zmh7c_cc_by_4_public_folders,https://data.mendeley.com/datasets/tm3v4zmh7c,tm3v4zmh7c,CC-BY-4.0,record_url
cv1-0076,chilli_capsicum,Bacterial Spot,disease,bb127635153f654dd45c8fb69134c27c46fbc994966e7c1eddb2c1f6f9415115,Kaggle,kaggle_plantdoc_object_detection_cc_by_4_yolo,,,CC-BY-4.0,dataset
cv1-0077,pea,Ascochyta Blight,disease,98b1d7f114849fe52293b450c4cf4ab28207a19dceb9758f6fa40c5b617e21e7,Mendeley Data,mendeley_pea_pisum_sativum_nnv3k3m94k_cc_by_4_public_folders,https://data.mendeley.com/datasets/nnv3k3m94k,nnv3k3m94k,CC-BY-4.0,record_url
cv1-0078,squash,Downy mildew,disease,c6aa33b3322d111aca08b96bd79ee0511bee40f3e364c588433c8a8f5ad9319f,Kaggle,kaggle_rashidthihan_pumpkin_downy_mildew_other_imagefolder,,,unknown,dataset
cv1-0079,brinjal_eggplant,Wet Rot,disease,1a1d749429fce1685c3f14edccf41a10009ed80222b568da5c168ea6a9023ac9,Kaggle,kaggle_ahsanurparul_brinjal_dataset_apache2_imagefolder,,,Apache-2.0,dataset
cv1-0080,brinjal_eggplant,Bacterial Wilt,disease,ca3cd35cc0f9b1ae1fc861ae6b5a92b801dcb1b30aa0f0a049d7399cb3bcb31c,Mendeley Data,mendeley_slif_brinjal_6yg6vktrc2_cc_by_4_bacterial_wilt,https://data.mendeley.com/datasets/6yg6vktrc2,6yg6vktrc2,CC-BY-4.0,record_url
cv1-0081,cucumber,Angular Leaf Spot Disease,disease,905bc25bc6db3a9bdf2c88707b4f4b11baa3792abe100d1535e0c389d8ba0906,Kaggle,kaggle_harisri2005_plant_disease_processed_unknown_csv,,,unknown,dataset
cv1-0082,pea,Healthy,healthy,f5e7a8727bcfb325acf0430d4c39ee76e8c141e2a96472181c6838b649a914f5,Mendeley Data,mendeley_pea_pisum_sativum_nnv3k3m94k_cc_by_4_public_folders,https://data.mendeley.com/datasets/nnv3k3m94k,nnv3k3m94k,CC-BY-4.0,record_url
cv1-0083,onion,Alternaria Leaf Blight,disease,f06e575afa5dd766ef352e6d7335218fe0704ef5dd23ad4b541af44fd57d11b5,Kaggle,kaggle_samareshkumar_multipleplantdiseases_cc0_imagefolder,,,CC0,dataset
cv1-0084,bitter_gourd,Potassium Deficiency,nutrient_deficiency,5bae3e38c80ae2e060eb835255accd0772badefb1da994ad70deec31b9863f6c,Kaggle,kaggle_shashin146_bittergourd_leaf_unknown_imagefolder,,,unknown,dataset
cv1-0085,brinjal_eggplant,Early Blight,disease,c37dd79975e5f1b9cedbd0f720a5920d1d2f9607d4a0fb5ca4d02c6d7445623c,Mendeley Data,mendeley_eggplant_6k94t3fydy_cc_by_4_public_folders,https://data.mendeley.com/datasets/6k94t3fydy,6k94t3fydy,CC-BY-4.0,record_url
cv1-0086,cabbage,Alternaria Spot,disease,daf102dd2c2d076fc280b2e522a2a77f4a6c1bf3b58fdf686b2bc3b607027429,Kaggle,kaggle_ibrahimagabardiop_niayes_crops_cabbage_cc0_imagefolder,,,CC0,dataset
cv1-0087,chilli_capsicum,Chilli Cercospora Leaf Spot,disease,5ef9258087a9c937b28e3bcd1eb53e1f16fe998fa73a69ffb35c8ca56814cddd,Mendeley Data,mendeley_pepper_bell_w9drvtxg9g_cc_by_4_public_folders,https://data.mendeley.com/datasets/w9drvtxg9g,w9drvtxg9g,CC-BY-4.0,record_url
cv1-0088,potato,Early Blight,disease,652b85c341e501be22061714884c45f04bf3710f9245414797c069f7f7929929,Kaggle,kaggle_plantdiseaset3_cc0_imagefolder,,,CC0,dataset
cv1-0089,potato,Bacterial soft rot,disease,e54cef7d3c4d72e903d96fd39822bb099d744c357023f8a0a5fc19428dff6f4d,Kaggle,kaggle_afifahoque_potato_disease_unknown_imagefolder,,,unknown,dataset
cv1-0090,okra,Powdery Mildew,disease,ca8ff0e23d3a8840306db0753dcd69b109521d59b0c0db1382a81e86173f9298,Kaggle,kaggle_manhhoangvan_yeesidataset_unknown_imagefolder,,,unknown,dataset
cv1-0091,cucumber,Anthracnose,disease,ae6db5cc79cb0237f4dc11f1fe2adc85854d10df345c14e26606b48e8155d6a3,Kaggle,kaggle_samareshkumar_multipleplantdiseases_cc0_imagefolder,,,CC0,dataset
cv1-0092,buffalo,Lumpy skin disease,disease,14645d6e1fcdb0462a214c777c4c14e46b8696a9b705c2495a6061e9e67c3bd5,Kaggle,kaggle_lumpy_skin_warcoder_cc_by_4_imagefolder,,,CC-BY-4.0,dataset
cv1-0093,bitter_gourd,Downy Mildew,disease,3fc2b33d16658d20b0298d88eef6e5a6ea0565e86851fa93415ba4a3a695a619,Kaggle,kaggle_fahadbd_plant_leaf_freshness_cc_by_4_imagefolder,,,CC-BY-4.0,dataset
cv1-0094,okra,Healthy,healthy,443f4d015afc3d9df13de020375e1ff8807671cadc2ef02999b78d164313b862,Kaggle,kaggle_custom_100_category_nc_sa_imagefolder,,,CC-BY-NC-SA,dataset
cv1-0095,rabbit,Myxomatosis,unknown,d7a3d07191128b133a9a35f95ea97cba080b13d4d85962edba8fd2cb1f3b0438,iNaturalist,inat_rabbit_myxomatosis_all_license,https://www.inaturalist.org/photos/30789090,30789090,mixed/unverified,record_url
cv1-0096,dairy_cattle,Lumpy skin disease,disease,86694047429123a87901ee32f1e4ce2eaebc05a29376ab952be500023a13ee81,Mendeley Data,mendeley_lumpy_skin_w36hpf86j2_cc_by_4,https://data.mendeley.com/datasets/w36hpf86j2,w36hpf86j2,CC-BY-4.0,record_url
cv1-0097,dairy_cattle,Mastitis,disease,ca1b1c43c9e5881e71c2cf4dc0f1e66c42ca71493f1a9713fce2d4921de0671b,Kaggle,kaggle_devang_mastitis_in_cows_unknown_imagefolder,,,unknown,dataset
cv1-0098,goat,Contagious ecthyma or orf,disease,883c5c7eb17cb9bf6a4aec9121e14531aa32ebb6b802ecdd1f47c1d0658fe1df,Roboflow Universe,roboflow_kesters_goat_skin_disease_v13_cc_by_4,,,CC-BY-4.0,dataset
cv1-0099,sheep,Sheep pox,disease,f0e24451cb5982ef7ff628a3185c1662813c9199b58b41e1dff5b01036e92a01,PMC,pmc11281627_sheeppox_spain_surveillance_lesions_cc_by_4,https://pmc.ncbi.nlm.nih.gov/articles/PMC11281627/,PMC11281627,CC-BY-4.0,record_url
cv1-0100,goat,Internal parasites and anemia,disease,c28f55285fdf2de9c77a7a5d1bc24e0b9fd00ad3acf14715f123fcc31e3f21cc,Roboflow Universe,roboflow_famacha_1shsw_biochar_famacha_sam_v4_cc_by_4_imagefolder,,,CC-BY-4.0,dataset
cv1-0101,olive,Olive Leaf Spot,disease,fafe1e4e4cddd82889286f12bb77b20c24bd974272891f0116b785476928d109,Kaggle,kaggle_abeersaleh_olive_leaf_disease_clean_cc0_imagefolder,,,CC0,dataset
cv1-0102,silkworm_sericulture,Grasserie,unknown,cacc424d4d70000e11d7606bb44da2008205ad8b53f4b1b053d253fe2fde585e,Roboflow Universe,roboflow_silkworm_project_benchmark_dataset_ywu7w_v1_cc_by_4_imagefolder,,,CC-BY-4.0,dataset
cv1-0103,java_plum_jamun,Bacterial spot,disease,5a98d32b74f5d1fb0ba4aa6574e51bab3a855156a9958a48695536fc37d884e7,Mendeley Data,mendeley_java_plum_43d75vptz4_cc_by_4_raw_public_folders,https://data.mendeley.com/datasets/43d75vptz4,43d75vptz4,CC-BY-4.0,record_url
cv1-0104,pistachio,Healthy,healthy,41c3cc0ac9bff252916c5aed7a1285e00c2d1a525922f4dde81784779063a4ad,GBIF,gbif_pistacia_vera_pistachio_healthy_human_observation_cc,https://www.gbif.org/occurrence/5110432849,5110432849,unclassified,record_url
cv1-0105,rose,Black Spot,disease,c7372146e938454bc7dc7567b319bedab3780ffdd1d11f5872ee6bb37b1ef461,Kaggle,kaggle_rose_leaf_disease_jocelyndumlao_unknown_imagefolder,,,unknown,dataset
cv1-0106,ash_gourd,Healthy,healthy,3c7afe77acda093346704e74eee67818000b5e4bdfa7b7dddd6e57a945bc9fb9,Mendeley Data,mendeley_ash_gourd_zj4th6xvdp_cc_by_4_public_folders,https://data.mendeley.com/datasets/zj4th6xvdp,zj4th6xvdp,CC-BY-4.0,record_url
cv1-0107,cassava_tapioca,Cassava Bacterial Blight,disease,6681b5f9d857fc81f93b0b356e9847db53be40a75b31c791eb0a96e8dc04b93c,Kaggle,kaggle_cassava_leaf_disease_classification_nirmalsankalana_noncommercial_imagefolder,,,non-commercial,dataset
cv1-0108,watermelon,Watermelon Mosaic Virus,disease,7b99140de35982f375c34a8919e4ca30accdf348f7d45eca644f1d2737734b51,Kaggle,kaggle_sujaykapadnis_watermelon_disease_cc_by_4_imagefolder,,,CC-BY-4.0,dataset
cv1-0109,rose,Iron Deficiency,nutrient_deficiency,f5ae23af30968ee10c6232dac8d5cca3c2a9d198a4baa9cd87e39ab41a431db8,Mendeley Data,mendeley_rose_mf6dmrkhh6_cc_by_4_nutrient_heat_stress_public_folders,https://data.mendeley.com/datasets/mf6dmrkhh6,mf6dmrkhh6,CC-BY-4.0,record_url
