case_id,image_sha256,entity,issue,license,source
of1-0044,9c6189e34348fe2d862ad02595dcc762b8f36e4c3781fd1768001c3fb61d2bf5,bean_french_bean,Angular leaf spot,CC-BY,other
of1-0045,bd221e94fe68f1937197cf58ad3643a2d2a8e19c5ae1927adb4ca199d24576d4,bean_french_bean,Angular leaf spot,CC-BY,other
of1-0046,2655c152317c2f5e99e35686f5bb83c8e56c6c9b2165e97a3180adc3d03bb385,bean_french_bean,Leaf lesion syndrome,CC-BY,other
of1-0047,dfdfb21ce19f33a4fca0b4b38cc106b09478ffb91885d2a4423434c40db9cc0e,bean_french_bean,Leaf lesion syndrome,CC-BY,other
of1-0048,3e1e3cded4da815dc4b291634221f829d39ab2c6a33553c3529a3a45c2d98b18,beetroot,Beet rust,Apache-2.0,Kaggle
of1-0049,093671ad69f825cd9b0e2cfc60b0baa7cc53fe82fe678fe8ed7d5f20a9b7d2b5,beetroot,Beet rust,Apache-2.0,Kaggle
of1-0050,d205af19567bcdcdbc0226412cff6cc2a8f91727a27c926ee024b79f248bcc11,betel_leaf,Bacterial leaf spot disease,CC-BY,other
of1-0051,fe2af5d024d50b04af94fd6f7df0865953dcfc9d37bc2587a83144483d9baade,betel_leaf,Bacterial leaf spot disease,CC-BY,other
of1-0052,1dfcdd4fdc846b4fce858e3c05c20f7f00c08152a52ca89bcd0e4417d82a4038,betel_leaf,Fungal brown spot,CC-BY,other
of1-0053,00aa55e26e4a72ef83f34c15c1c1c261b44fc22c889e7f73f1e6e702f7a2c33c,betel_leaf,Fungal brown spot,CC-BY,other
of1-0054,d9e81aba51ca57b2945a37ba6e5ba80cae3928598399f8c9e04279dd8d2e8298,betel_leaf,Leaf rot complex,CC-BY,other
of1-0055,cabd85d5bb094c6fd7ff1574d9178eb06c05c91da72c26e6ff9774b0fe73db60,betel_leaf,Leaf rot complex,CC-BY,other
of1-0056,414c5e3b7eecf8c67fc7fdcd6484e32816197f58ba37a8a0f17834a58f129389,betel_leaf,Leaf spot complex,CC-BY,other
of1-0057,210f5aa730b2d408395ff4af7e649eb8e70fe913214e28ec6be8df751b8504de,betel_leaf,Leaf spot complex,CC-BY,other
of1-0058,0b8ad3794631b4aad773532f1a607c188f1bc16573c9fce4b87d8cbc95231168,bitter_gourd,Leaf spot syndrome,CC-BY,Kaggle
of1-0059,8aad07965cc05fdea1dc8dc43680ff408f6a3708c69a193b746d6ce0a1a87b0b,bitter_gourd,Leaf spot syndrome,CC-BY,Roboflow
of1-0062,3418f80d36621732a4b6129600c5e8e721e3e7b41689103bdce100b5c3a85b6a,blueberry,Blueberry maggot or fruit fly,CC-BY,Bugwood
of1-0063,e9b1ec9f7dd2bf7c614d60b3f2f836738afabeaa3865b5a38e4b44624dd1475a,blueberry,Blueberry maggot or fruit fly,CC-BY,Bugwood
of1-0064,ee08e325b20f38ff1b1c285eac4cc3ceae3ad6e3e194788bdf249271e825b892,blueberry,Botrytis blight and gray mold,CC-BY,Roboflow
of1-0065,88f5814d63f0390b83f0c178efc584ff3763ebb8766d5b9a18c8b5f5e3522f94,blueberry,Botrytis blight and gray mold,CC-BY,Roboflow
of1-0066,bf4d3930f5c3b4470f4fcc86071976d4eb3aeb75456b8725d798a0efd5855d25,blueberry,Brown marmorated stink bug,MIT,Kaggle
of1-0067,f9a71b1fcdeb4fad43a6319f777eccafc4c9a0103ea322acab0ece1282f618d7,blueberry,Brown marmorated stink bug,MIT,Kaggle
of1-0068,17966fcba8506a0544f5f47e74b314aa7fc71294f0258c22804a1abe454696bd,blueberry,Leaf rust,CC-BY,Roboflow
of1-0069,180a26b415329a91a3b8ea53b49ecfe0e4226932167cbdd9dad18e557738bd0a,blueberry,Leaf rust,CC-BY,Roboflow
of1-0070,75444aada8394ff806408c40b49f79dcf395b070e07992538b456fcbe5444ae6,blueberry,Ripe rot or anthracnose,CC-BY,Roboflow
of1-0071,a0849a51e07f0d66451215208687d668971ff98b8b19a6d880ca2548a36023f3,blueberry,Ripe rot or anthracnose,CC-BY,Roboflow
of1-0072,484a4378103a9dfef18cd06ff3096cd46f55fadd948c17a011a4a7fadc10099b,blueberry,White grubs and masked chafer,CC-BY,Kaggle
of1-0073,c5ef5652d608481e5714b589aa2806f59b6f345350bebe019ca32426f0619759,blueberry,White grubs and masked chafer,CC-BY,Kaggle
of1-0074,8434dd1bf2504c48bbf383be0b39de9575275acf692d1536fd6cfca272d522cb,bottle_gourd,Alternaria leaf blight,CC-BY,Kaggle
of1-0075,5bd7c369dbb3bb47ab9742229272fe59b1bff6688f48a1b9e57c8650b36e780e,bottle_gourd,Alternaria leaf blight,CC-BY,Kaggle
of1-0076,63b7e537696e814b4b7b7465cecec51a80146078a0b439f64c55bf5b8e200286,bottle_gourd,Anthracnose,CC-BY,Kaggle
of1-0077,2f972c03d896c5ce810603a010aacca27669c3053437c30eb4b43112d52772df,bottle_gourd,Anthracnose,CC-BY,Kaggle
of1-0078,81d1a667e576fac4ef138b29de00d075a122870eea0d1e152a1ecece94502891,bottle_gourd,Downy Mildew,CC-BY,Kaggle
of1-0079,9167dfb47af54b36f20ba34dd429a2774b5b18f6d9016678a1e6711e16b53bc3,bottle_gourd,Downy Mildew,CC-BY,other
of1-0080,2b63e85c7b055d83a63265ee444e50c3a28ce9dc378024d5bf70eddb7e39e597,bottle_gourd,Leaf spot syndrome,CC-BY,Kaggle
of1-0081,d34dc31674f6386aadd029316ed1035a5717ce74645176bd4a95c380de7fb7b5,bottle_gourd,Leaf spot syndrome,CC-BY,Kaggle
of1-0082,becc81afcc7a7f542b0a2c3b2553244e918bf9ebb6f4682b5bf5a2018f062e8b,bottle_gourd,Leafhopper jassids,CC-BY,Kaggle
of1-0083,d4dbc1bfef8823729b11170a923ef8552fd003dfa0af750b2920b81eba04aa4e,bottle_gourd,Leafhopper jassids,CC-BY,Kaggle
of1-0084,b25ca06053b7542b1d728ecc0fa54720990587a2ac4e2117f3baaf29c68cb8e5,bottle_gourd,Mosaic virus syndrome,CC-BY,Kaggle
of1-0085,9643416912eca76bb7ba6e7e6dce4663a199dc0584e96f389d4be6b01be01291,bottle_gourd,Mosaic virus syndrome,CC-BY,Kaggle
of1-0086,56c9ec74095ee0cbc71f17efb701548482959d6ab7a04d4fd3cf83b0a85fd28f,bottle_gourd,Unspecified mite damage,MIT,Kaggle
of1-0087,f3cd69be9a07a1958cf8d01d5f9a39e4a507dc3c8e8aabac1da15628a6a39f6a,bottle_gourd,Unspecified mite damage,MIT,Kaggle
of1-0088,35cfa5045aa78a651675a1a6b42d7b865a167ccdd517b45728538f48281637e5,brinjal_eggplant,Downy mildew,CC-BY,other
of1-0089,b2088c232c78e268320102b99b003ce9a3745da179c6fc5d76aaa330d69d8f23,brinjal_eggplant,Downy mildew,CC-BY,other
of1-0090,b13bfa7b083039457098ca444d47e3e83d219251869374fac3375da16c74e898,brinjal_eggplant,Eggplant mosaic virus,CC-BY,other
of1-0091,01314df53a15ad73a0c361d9438dec0aeb269662a075ef5bc83286aae7312add,brinjal_eggplant,Eggplant mosaic virus,CC-BY,other
of1-0092,d7a3a7388b8d3318c71efd8d34c7592556862c45b548f75da32fb92aea568d6b,brinjal_eggplant,Epilachna beetle damage,MIT,Kaggle
of1-0093,4ab47813a688ed346aeb6fd256026a3dbb00cf14d845622af6cd1f4c3b838501,brinjal_eggplant,Epilachna beetle damage,MIT,Kaggle
of1-0094,3c83c6a4b2ae0d0d78a1b3f5bcfdfef2adb497a9c7b099bccb5dc49240f793f5,brinjal_eggplant,Septoria leaf spot,CC-BY,other
of1-0095,333c8c2af5ffca77b683fc9f9addf33aa5fc6b8d56c7cb713618b8c134184a89,brinjal_eggplant,Septoria leaf spot,CC-BY,other
of1-0096,4d641aa14d9d074d5115ba800d46d3a5d03c061a17f2ba18516bf2b00aa0b728,brinjal_eggplant,Unspecified mite damage,MIT,Kaggle
of1-0097,944a4a650c02686b2cb7fde40a25b050b5b9184729b23ce7f35238277631b851,brinjal_eggplant,Unspecified mite damage,MIT,Kaggle
of1-0098,71ec49cfec44e41889addbbf87dbab3152ff4e731d4ca327c0e31cb1a027756b,carambola,Unspecified pest damage,CC-BY,other
of1-0099,847a37417fcaa8185955788edd144ec37480d826be8ccc27ef475605a77c5b48,carambola,Unspecified pest damage,CC-BY,other
of1-0100,fd850e22820d14aa8b940904119dea9354a31581e8af3ae42faf20d10e75177c,cardamom,Leaf blight syndrome,CC-BY,Kaggle
of1-0101,ae80b5458109f3baa44a52295f3a827cfa571ea5b0dbf39882962654280ca9bd,cardamom,Leaf blight syndrome,CC-BY,Kaggle
of1-0102,ee867f976b7d1436b63c452887541c0ae026c96fede66c096fe0ea9a7f11d7f3,cardamom,Leaf spot syndrome,CC-BY,Kaggle
of1-0103,2daba58de5b30f700761ffaa4ce44ea8859e7bce416e916293669681d120ed52,cardamom,Leaf spot syndrome,CC-BY,Kaggle
of1-0104,c226743bef5cbf1ebb1e18330f5374e2090f14729146c4f11c18a145afd0d798,cashew,Anthracnose,CC-BY,other
of1-0105,c3c90743584dbe61e2a03cac970b70d0e3691bf53364f6e4e583308c09ad5162,cashew,Anthracnose,CC-BY,other
of1-0106,2ac80284a6d7dbba38f138114df0adff3b52c91459dcef7bc908dd5ba80874c5,cashew,Flower thrips,CC-BY,Roboflow
of1-0107,bb2ff1237b6b5aef864b4309761e71bc4f37fc4afb375096461b2a681d0bf53f,cashew,Flower thrips,CC-BY,Roboflow
of1-0108,e06fbece66011d4036f28a9d2ad3a7e7499616131ecb5389fe09739b7501d4e9,cashew,Leaf miner,CC-BY,other
of1-0109,8273e0cfe7a2405959060db286b4cbda6c12e598706023dca3ce17c5d7c9b660,cashew,Leaf miner,CC-BY,other
of1-0110,9fa756feabb62e94690007b6ec8856c95b1a5159118d69b72c0aaf981aa2c494,castor,Alternaria blight,CC-BY,other
of1-0111,b916d24b407dabec1c79a667fe29137a0a0cc6a44ceefa2f29f65f564562cdcb,castor,Alternaria blight,CC-BY,other
of1-0112,562d635c8ab6e3603f07159659c9551fda7d4c68245332ae4108453b47181b38,castor,Hairy caterpillar damage,CC-BY,other
of1-0113,0f9a46eca8e8d532a154c049c71a37abc5a2d73418e9b1840dc7bd6464df8095,castor,Hairy caterpillar damage,CC-BY,other
of1-0114,66ac84738bcbcc593d4b22a43e76d8a205d915adf3d6e0bdee8c3197aba6b01f,cherry,Brown leaf spot syndrome,CC-BY,other
of1-0115,7a5187ae18e4790df2b057ad435417207eeb9181ed4e13d0b5c1ef7479d9aa79,cherry,Brown leaf spot syndrome,CC-BY,other
of1-0116,73e0c8773baa725cb464d451b56e4be006ae5f58ff6fa42bc3e04edc406a1db2,cherry,Purple leaf spot syndrome,CC-BY,other
of1-0117,43e07425d31002edf6c67542a2694980dbf88ef3863e64f33485902338fc781d,cherry,Purple leaf spot syndrome,CC-BY,other
of1-0118,90da6f3c402588ca65e54cee59d864e802ad8fb2ec620b9dfecc64c22114c40d,citrus,Bacterial brown leaf spot,Apache-2.0,Kaggle
of1-0119,4cbe5a50568ae58a42c44861af1ed8cb9cb732f23c44b07a266d9444e626007a,citrus,Bacterial brown leaf spot,Apache-2.0,Kaggle
of1-0120,ebea1842c0f1702400c7f615cdfee58534d35acdad2ad80394e40675366a6d4b,cocoa,Cocoa swollen shoot virus disease,CC-BY,other
of1-0121,b85cd3f9d6938a2055409276bcdd1281d62ac9b91dd2a0c1d53f4c17950df24a,cocoa,Cocoa swollen shoot virus disease,CC-BY,other
of1-0122,2e6c00ada5ef0697e043aa116d88af299b70a862aed000d0f3812a4ade6be56b,cocoa,Stem borers,CC-BY,Kaggle
of1-0123,2d6435c35d084b64314243e9edabf5a2c5d7a29afc440c9f98d4f7184c2b37cf,cocoa,Stem borers,CC-BY,Kaggle
of1-0124,ebdee77a4de7db38156998fe8e923761faa530d44cd69e21420d8cb85f955be0,cocoa,Vascular streak dieback,CC-BY,Roboflow
of1-0125,3db6c9f735dc251e552e57f2ad0e3a7da4814daf8ee03c6c472dcba65e739932,cocoa,Vascular streak dieback,CC-BY,Roboflow
of1-0126,b95d7ec5e4adab63b49da209cb0b24dc9ab4e67e1f6c7f104755783cbdf4f088,coconut,Basal stem rot,CC0,iNaturalist
of1-0127,7a8222d428c13310da856fd8cdc964c6ff5c92a3906cb693ddc3152a99927597,coconut,Basal stem rot,CC0,iNaturalist
of1-0128,06352217e12a5657a969d7823d09a81366729616a283dd4387706a3f395f881d,coconut,Bud rot,CC-BY,other
of1-0129,e96f7160c903d751817d60c51d12ac377fc20446f150c06d88555c8f997745c9,coconut,Bud rot,CC-BY,other
of1-0130,aa63e056aa15e6f739f0572627461d89f605af6f6e4d00e21ba0c2898a310135,coconut,Coconut eriophyid mite,CC-BY,Roboflow
of1-0131,da99400b522ec13e647c0ef5a0c0ce7e1b3400352f076106ae29f1561e0f1364,coconut,Coconut eriophyid mite,CC-BY,Roboflow
of1-0132,0c48bfe4a20274209925531e6751ba9fbe95a96199df80768baea4557e6f357a,coconut,Leaf rot,CC-BY,other
of1-0133,6eca45cb336b43f7adc3326f99bdae64edfd85a050066ca2edc12bfa87a88b99,coconut,Leaf rot,CC-BY,other
of1-0134,d326796234098352bca3bc14790a1a49d4c6771e2f30aec2ddc2fd83ca1f00ae,coconut,Stem bleeding,CC-BY,other
of1-0135,bdae8cfe563c182bbb09b3e487522f19ba150f49043f79916ebd0f245b3c940a,coconut,Stem bleeding,CC-BY,other
of1-0136,10093cae2174858fc2051f9b5a5451d76b89ed07f67c05de3f2f064545d1b012,coconut,Weligama coconut leaf wilt disease,CC0,Kaggle
of1-0137,819f649a89ce5f919adbe37bab94594768c6b0035dc04f0b984ac2df1f627196,coconut,Weligama coconut leaf wilt disease,CC0,Kaggle
of1-0138,c4c560c44012df95ff76878893f67bb91ffb6bde01abbb6765649e9e9c089baa,coffee,Ojo de Gallo (American leaf spot),CC-BY,other
of1-0139,7423e77cae16d80a24f682b070c4b9fafc5bd5cc8d6dbc56a40dfdbb70b12ede,coffee,Ojo de Gallo (American leaf spot),CC-BY,other
of1-0140,f649bc5e31f2fe41cbb0ffd93809b2da4bc119dc71bc157c0339ffdd7cd10a00,coffee,Phoma leaf spot,CC-BY,Kaggle
of1-0141,ff08e13ebae3ac18f0a4217ee4c7ca9d98324c63c581647c6c76abb3f45d160f,coffee,Phoma leaf spot,CC-BY,Kaggle
of1-0142,be764099e1bd7efeab59e9223ab8ce38348e93f5603dc66d61c4d4a40168faeb,coffee,Twospotted spider mite,CC-BY,other
of1-0143,680aa39e0c11469496c395c1b4efd85083d775cdf2bd49269f9c27d90caf8171,coffee,Twospotted spider mite,CC-BY,other
of1-0144,06f596dd9c69f98ef5b3bf8c5de4e574b968d86033409f35e3df39126472f9dc,cotton,American bollworm,MIT,Kaggle
of1-0145,633fac961b389d967d6be094093df84cab5e780f7cfeceb363292211bcb44e9b,cotton,American bollworm,MIT,Kaggle
of1-0146,b697696ae2337dd4780bbb2fbd70ed33be7f95376ceb11e942a1a941150983cb,cotton,Cotton whitefly,MIT,Kaggle
of1-0147,afb3d6075314fde145dc894fca11ba167d904a9d45f1ea6188903dd829e99999,cotton,Cotton whitefly,MIT,Kaggle
of1-0148,9c64e6769ce575ae92460b32db7351af7217e91bc8e77b9b61cb0531f115223b,cowpea,Bacterial wilt,CC-BY,other
of1-0149,dd18aab77561d141f05ae92b01cf207d416239446205adbebfcc26ac7a52e66d,cowpea,Bacterial wilt,CC-BY,other
of1-0150,7a315338cbac38667c358ed3ea3ce9e93ce90b4f1be08b445cd642d2405b5750,cowpea,Mosaic virus,CC-BY,other
of1-0151,213c71d9b7eedc4eb42d37b128b4b049c0848b6e45930804d1be87045efef88c,cowpea,Mosaic virus,CC-BY,other
of1-0152,8fddafd18d7564e7baf40d185008e9139896021e12b34b471f062332ab01a111,cowpea,Septoria leaf spot,CC-BY,other
of1-0153,423245055b854b22a05012cb77665f6b325b83d6cefbb547bd3ade0801b49697,cowpea,Septoria leaf spot,CC-BY,other
of1-0154,3e12b4bb6143b1ecad3538d11c07fe8df659268eff35023df2b6fe2c29dacd00,custard_apple,Anthracnose,CC-BY,other
of1-0155,bd18dfe015394536b84eb14b9d065e62c12a2576c49a5d1a17b72de22c7f219d,custard_apple,Anthracnose,CC-BY,other
of1-0156,3c1066225c3d24c42937bb0de33fc358ef0a23ce37dd16425d82b6dc2b2fbd8c,custard_apple,Black canker,CC-BY,other
of1-0157,23757a4ae9c025514793187b709f99e911a2403211fe4b497c9fc5f2cfcfb855,custard_apple,Black canker,CC-BY,other
of1-0158,ad1a1168a5f68ad1b60d5700298043a3f1acbbe9e4262396959ad09c7ff66017,custard_apple,Diplodia rot,CC-BY,other
of1-0159,d4151426c6964ca5a4538e257c99d735cce39eb2da27543ffe87da927aa4a2a8,custard_apple,Diplodia rot,CC-BY,other
of1-0160,44f010e5c8b4e5a471f22cd61c6df6f985cb4cf1fcc92596bb2f557d188b31e8,custard_apple,Leaf spot on fruit,CC-BY,other
of1-0161,66b621d89c8d5022d640f0fc18027e63e00f8e01c48995df38581563073751a8,custard_apple,Leaf spot on fruit,CC-BY,other
of1-0162,75905e39587a047a1927bc9e2c8794f0008d30c514093828f8172e7274b2ce97,custard_apple,Leaf spot on leaves,CC-BY,other
of1-0163,3660193a15d5a045f0d3d74ae85aeaf8f05578ceee8167cc78903c4403c128b8,custard_apple,Leaf spot on leaves,CC-BY,other
of1-0164,2c58cdbbe6704af276864a864f2095926d3840639ddec499d7bf6796e3363197,custard_apple,Mealybug,CC-BY,other
of1-0165,46d437b7f03335d590bbc0b6d2e50f6347cae89697c727c38e420c7df2640a87,custard_apple,Mealybug,CC-BY,other
of1-0166,824d9b0e277371137d9c8163a223a7ef557a668f9bd07bec62fc5c9e1d955e52,date_palm,Black scorch,CC-BY,other
of1-0167,fce4b7ea377ce9ad74b59498bbdb695858bda943556d2470bf6b272f9940e194,date_palm,Black scorch,CC-BY,other
of1-0168,6846cb59e7edcc1a3235133d71f9a911684f9139dd6bb66d112a36c093b58caf,date_palm,Dubas bug infestation,CC-BY,other
of1-0169,a9b404f94d3332ebdefa840f898d5a6972442700184672a989f3bfa29b8e3fd1,date_palm,Dubas bug infestation,CC-BY,other
of1-0170,d9f394130dc463dccfacbfc09a5ef5fb95f2a65da55b6a533976170cad4a5ddc,date_palm,Fusarium wilt,CC-BY,other
of1-0171,d2b5c7ab9e26f8f57f635cf5d0032eae99bb549f38136de2d922a043adcef24a,date_palm,Fusarium wilt,CC-BY,other
of1-0172,00e8df18abb058ba38d741087d9a69458178024a8fd4b7af72a998c14a8b12b8,date_palm,Leaf spot complex,CC-BY,other
of1-0173,478fd53cc6b6d533e496792f78903e2cc09aa66cf8a56649b2ee7bd531c4932a,date_palm,Leaf spot complex,CC-BY,other
of1-0174,e269b48d8a34019c7794bd03c7716cbae5e6ebd51c71833e03f45ef616e2a9a4,date_palm,Parlatoria scale,CC-BY,other
of1-0175,b4de35d3f2aebad611bf47429c0772fe292ac64c0aa99b13d29f997b4d064680,date_palm,Parlatoria scale,CC-BY,other
of1-0176,2503bf0bac42dbedf9b0eeb6697ce2eead353fa70283d4ec3b1739330f3caed3,date_palm,Rachis blight,CC-BY,other
of1-0177,c37cbfbec944fe219e9bdf28319055d428987a3a332245ba37e7ca149eaa4bcc,date_palm,Rachis blight,CC-BY,other
of1-0178,6aabe097adf5c180d8a77fad362b81c9ea84e9dbc029b525dcee18deaaf8561a,dragon_fruit,Anthracnose,CC-BY,other
of1-0179,82d82bc904d31f2251de5b4b31dacfcb7ef205ac8679db5f0ab24221b8798af7,dragon_fruit,Anthracnose,CC-BY,Kaggle
of1-0180,2ad7f11c10e9ec0818ae2c04e65eb4328546f4714623f3b5399af14214f75f3c,dragon_fruit,Brown stem spot,CC-BY,other
of1-0181,5fb38de56e15ea1cfd7bd97471070d5582309d2bb5a31f9bce3979b8569782a7,dragon_fruit,Brown stem spot,CC-BY,other
of1-0182,e6aafa20565faa307faa0cce2e7b9271767f3cd111c858bc1737b557a4de081e,dragon_fruit,Cactus virus X disease,CC-BY,Kaggle
of1-0183,3adfe9924ef16c1b488f47bafcd06a19e5d79c86bc7ef25a57b72c114cf15d53,dragon_fruit,Cactus virus X disease,CC-BY,Kaggle
of1-0184,dfabd978fc36cda7d92d3e9cf07bac61cee9dbed37783f1dd655e59965a607d8,dragon_fruit,Gray blight,CC-BY,other
of1-0185,d5ba1475f851e943644933b4e0f204641748da86574886a2369dbb61393787f7,dragon_fruit,Gray blight,CC-BY,other
of1-0186,1b13712bf3c8f03a37ef7c5673a0197ff4e2f2e306b9e490db8881fabfb58e7e,dragon_fruit,Soft rot syndrome,CC-BY,Roboflow
of1-0187,6868d9d2efc0d8d97a917ee41d92c7cc487dfad9711ad75e89dacda3ded41658,dragon_fruit,Soft rot syndrome,CC-BY,other
of1-0188,e9fb659cabcac6c52a719c1ad34612b2ff4d934d16fb0837bec8fccbbbdf8eda,dragon_fruit,Stem canker syndrome,CC-BY,Kaggle
of1-0189,b7178aee987af5740fa30c4b5401fc87d217567a63de7745a76c990d8f7f0774,dragon_fruit,Stem canker syndrome,CC-BY,Kaggle
of1-0190,26db0562849ae8ef1488e0ccd42614371bda9dccd25a49d0f7b8779449b8db77,durian,Algal leaf spot,Apache-2.0,Kaggle
of1-0191,31480aa690f2e9ef84d4de66d1beee68895680100cda2273721150ab458ae825,durian,Algal leaf spot,Apache-2.0,Kaggle
